회사명,2024 투자 금액(억),2024 투자 기업 수,2023 투자 금액(억),2023 투자 기업 수,2022 투자 금액(억),2022 투자 기업 수,2021 투자 금액(억),2021 투자 기업 수,2020 투자 금액(억),2020 투자 기업 수,전체 투자 금액(억),전체 투자 기업 수
스타트업리서치,7,3,10,2,6.9,2,6.4,2,6.4,0,36.8,7
그리트벤처스,0,0,3.8,4,21.4,15,10.9,4,0,0,36.2,8
에이씨패스파인더,3.6,5,17,10,15,1,0,0,0,0,35.6,15
솔리드원파트너스,10.6,4,24.4,6,0,0,0,0,0,0,34.9,10
에이치앤벤처스,22.6,34,11.5,20,0.5,1,0,0,0,0,34.6,54
컴퍼니엑스,9.3,8,14.1,11,8.7,6,1.7,8,0.5,4,34.3,31
코맥스벤처러스,1.3,1,2.7,2,8,8,12.5,5,8.2,5,32.7,13
제이엔피글로벌,21.8,6,3.6,6,3.2,7,1.8,5,2.1,4,32.5,21
메디이노파트너스,0,0,12.6,2,19.1,3,0,0,0,0,31.7,2
벤처박스,8.5,8,8.2,6,6.5,9,5.4,3,2.8,5,31.4,22
제주창조경제혁신센터,3.7,2,10.3,10,6.4,7,7.5,8,3.2,6,31.2,26
에프원파트너스,1,1,0,0,11.7,4,9,1,9,0,30.8,2
존스앤로켓,0.7,1,11.9,10,17.9,3,0.2,1,0.2,0,30.7,12
디지털헬스케어파트너스,1.3,1,3.9,4,10.3,8,8.9,8,5.9,6,30.4,19
상상이비즈,13,4,5.5,7,3.1,7,5.3,7,3.1,5,30,23
로간,6.1,1,0.5,1,14.5,3,2.6,3,5.9,2,29.5,7
투잇인베스트먼트,2,2,12.4,9,12.2,7,2.3,3,0.6,2,29.5,16
아이엑스브이,5,3,4,4,14.2,10,5.8,8,0,0,29,15
더존비즈온,3,1,6.5,5,6,5,7,6,6,5,28.5,17
비디씨엑셀러레이터,12,3,13.4,4,2.8,2,0,0,0,0,28.1,7
국민대학교기술지주,4.1,3,12.5,14,10.9,9,0,0,0,0,27.4,17
임팩트파트너스,0,0,0.1,1,9.2,3,17,3,0.5,1,26.8,5
제타플랜인베스트,3.4,1,0,0,2.5,2,10.2,3,10.2,0,26.4,4
케이액셀러레이터,14,7,3,1,1,1,6.5,7,1.1,1,25.6,16
다래전략사업화센터,3.6,3,12,8,5,7,1.3,3,3.5,5,25.4,19
한국바이오투자파트너스,0,0,6.2,5,5.1,8,12,8,1.9,2,25.2,15
겟투,1,1,0.6,1,3.7,1,9.9,2,9.9,0,25.1,4
미라벤처스,8.6,5,10,1,5.9,3,0,0,0,0,24.5,6
특허법인지원,10.8,8,1.7,4,8.3,10,2.2,7,1.5,8,24.4,27
파인드어스,9.6,6,3.3,4,6.5,4,2.5,1,2.5,0,24.4,11
도담벤처스,6.6,2,7.7,2,10,3,0,0,0,0,24.3,4
아이피파트너스,18.2,2,6,2,0,0,0,0,0,0,24.3,4
엔피프틴파트너스,0,0,1.3,2,2.2,3,11,18,9.1,11,23.5,31
경북대학교기술지주,3,2,9.6,13,10.3,3,0.1,1,0.1,0,23.1,16
스타벤처스,1.3,1,8.4,9,13,7,0,0,0,0,22.7,10
래버리지,13.3,2,1.3,3,3.5,7,3,3,0.4,1,21.4,9
에스와이피,4.2,3,0.9,3,6.2,4,7.7,5,1.7,4,20.7,15
나눔엔젤스,4.3,7,2.8,4,4,10,7,5,1.9,3,20,19
이노큐브,11.1,4,9,3,0,0,0,0,0,0,20,7
더넥스트랩,0,0,8.2,3,6.5,2,2.5,2,2.5,0,19.7,5
제이엘파트너스,8.7,2,10.2,1,0,0,0,0,0,0,18.9,3
페이스메이커스,0,0,0,0,6.1,4,9.8,9,2.9,4,18.8,13
위드엔젤파트너스,3.5,3,15,2,0,0,0,0,0,0,18.5,5
크리액티브헬스,0,0,0,0,9.3,2,3.2,1,6.1,2,18.5,3
한림제약,14.5,1,0,0,0,0,2,1,2,0,18.5,2
광주지역대학연합기술지주,7,3,11.2,8,0,0,0,0,0,0,18.2,11
투썬캠퍼스,5.2,1,1,1,5.5,2,2,1,3.9,2,17.6,5
전남지역대학연합창업기술지주,0.1,1,2.9,3,6.3,8,3.1,6,5.1,2,17.5,12
세르파벤처스,1,1,7.7,7,6,6,2.5,4,0,0,17.2,12
알앤디파트너스,1.5,2,8.9,11,2.1,5,4.6,9,0,0,17.2,22
시드버스,10.3,2,6.6,2,0,0,0,0,0,0,16.9,4
인트로매그나,0.5,1,0.3,1,1.5,1,5.8,4,8.2,6,16.3,12
빅베이슨캐피탈,0,0,0,0,0,0,15.8,3,0,0,15.8,3
블루오션벤처스,0,0,13.7,11,2,1,0,0,0,0,15.7,11
후앤후,0,0,0,0,2,2,6,4,7.7,5,15.7,9
파트너스라운지,5.7,5,7.9,4,2,1,0,0,0,0,15.6,9
컴퍼니에이,0,0,0,0,0.6,2,11,3,3.9,5,15.5,8
헥사곤벤처스,0,0,0,0,7.7,4,3.8,2,3.8,0,15.3,2
아이빌트,0,0,4.8,5,5.2,6,3.7,4,1.1,3,14.8,12
알토란벤처스,7,2,2.2,5,2.5,4,1.5,2,1.5,0,14.7,9
서울랩파트너스,0.8,1,13.6,5,0.2,1,0,0,0,0,14.6,6
젤코바벤처스,0,0,14.6,1,0,0,0,0,0,0,14.6,1
조슈아파트너스,3,1,11.6,4,0,0,0,0,0,0,14.6,5
다름과이음,2.3,3,10.8,11,0.8,2,0,0,0,0,13.9,14
재단법인 임팩트재단,2,2,2,3,6.6,6,1.1,4,2.3,5,13.9,14
커넥팅닷유나이티드,0,0,0,0,9.7,4,3.2,3,1,1,13.8,4
레드일렉,0,0,12,4,1,2,0,0,0,0,13,4
어벤처스,0,0,6,8,2,3,2.5,2,2.5,0,13,10
한림대학교기술지주,4,2,8.9,11,0,0,0,0,0,0,12.9,13
에스앤인베스트유한책임회사,12.3,2,0,0,0,0,0,0,0,0,12.3,2
글로벌청년창업가재단,0,0,0,0,7.4,2,1,2,3.5,6,11.9,8
강원대학교기술지주회사,5.7,7,5.3,16,0.2,4,0.6,6,0,0,11.8,29
내비온,0,0,10,2,1,2,0.3,2,0.1,1,11.4,5
아크메이커,0,0,4.9,2,1.5,2,2,1,2.9,3,11.3,6
전남창조경제혁신센터,4.8,5,0,0,2.4,6,3,6,1,1,11.2,12
카네기경영연구원,0.5,1,8.8,15,1.3,3,0.3,2,0.3,0,11.2,18
아이피씨앤비,1.5,3,0,0,0,0,4.8,3,4.8,0,11.1,6
블록크래프터스,0,0,0.5,1,3.7,6,4.8,7,1.9,6,10.9,14
링크빈,4.1,10,5.7,11,1,2,0,0,0,0,10.8,21
더이노베이터스,0.8,3,2.3,3,2.4,9,5.2,7,0,0,10.7,13
충남창조경제혁신센터,0,0,6.6,7,1.5,3,1.2,3,1.2,0,10.6,10
업그레이드파트투,3,3,7.5,6,0,0,0,0,0,0,10.5,9
에스티지벤처스,0,0,0,0,0,1,5.1,3,5.1,0,10.2,3
허드슨헨지인베스트먼트,0,0,0,0,10,1,0,0,0,0,10,0
아이디어파트너스,0,0,2.8,4,5.1,8,2,7,0,0,9.9,11
유닉,0,0,0,0,1.2,1,8.5,3,0.2,1,9.9,4
애드벤처스,3,1,0,0,6,1,0,0,0,0,9,1
재단법인 넥스트챌린지아시아,2,1,0.9,2,6.1,5,0,0,0,0,9,3
알파브라더스,2,5,0.6,2,4.3,4,2,5,0,0,8.9,12
그라운드업벤처스,0,0,8.8,2,0,0,0,0,0,0,8.8,2
리얼비즌,0,0,2.2,4,3.7,8,1.1,2,1.1,0,8.1,6
우정바이오,3.8,2,2,2,0.5,1,0.9,1,0.9,0,8.1,5
넥스트챌린지,0,0,0,0,2,4,2.6,5,3.4,7,8,12
비티비벤처스,3,3,3,3,2,3,0,0,0,0,8,6
시너지아이비투자,7.7,3,0,0,0,0,0,0,0,0,7.7,3
줌인파트너스,0,0,6.9,2,0.5,1,0,0,0,0,7.4,2
클러스트벤처스,1.5,2,5.6,8,0,0,0,0,0,0,7.1,10
트라이앵글벤처스,0,0,0,0,3.3,2,1.9,1,1.9,0,7,1
원빌리언엑셀,1,1,4.5,10,1.3,5,0,0,0,0,6.8,11
밸류업그라운드,1.7,2,1,1,0.7,1,1,1,2.4,1,6.7,5
공명파트너즈,4.2,3,2.3,3,0,0,0,0,0,0,6.5,6
광주창조경제혁신센터,0,0,0,0,4.3,6,1,1,1.2,2,6.5,3
강원창조경제혁신센터,2.5,4,0.5,2,1.1,3,1.3,3,0.9,3,6.3,12
비즈니움,0,0,0,0,0.1,1,3.1,2,3.1,0,6.3,2
오너스코리아,0,0,0,0,3.5,5,2.3,5,0.5,1,6.3,6
브릿지스퀘어,0,0,2.7,5,2.3,8,1,4,0,0,6,9
비즈코웍,0,0,4.8,1,1,3,0,0,0,0,5.8,1
대우당헬스케어,0,0,5.7,1,0,0,0,0,0,0,5.7,1
원투자파트너스,4.5,2,1.2,1,0,0,0,0,0,0,5.7,3
다스킨트,0,0,0,0,0,0,2.8,1,2.8,0,5.6,1
벤처포트,0.9,1,0.9,1,1.6,3,1.9,2,0.1,1,5.3,5
엑셀베스트,0,0,5.2,1,0,0,0,0,0,0,5.2,1
이그나이트이노베이터스,0,0,0,0,0,0,5,1,0.2,1,5.2,2
강쎈,1.5,1,0,0,0.5,1,2,3,1,2,5,6
아스벤처투자,5,1,0,0,0,0,0,0,0,0,5,1
한국혁신의약품컨소시엄,5,1,0,0,0,0,0,0,0,0,5,1
호서대학교산학협력단,0,0,5,5,0,0,0,0,0,0,5,5
스마트파머,1.4,1,0.5,1,0.2,1,0.6,2,2.2,2,4.9,6
베드록벤처스,0,0,4.5,4,0,0,0,0,0,0,4.5,4
베드록벤처스,0,0,4.5,4,0,0,0,0,0,0,4.5,4
제이에이치제이파트너스,0,0,0,0,0,0,2,2,2,0,4.1,2
넥스트엘레베이션,2,2,2,2,0,0,0,0,0,0,4,4
밴드,0,0,2,2,0,0,1,1,1,0,4,3
엔유액셀러레이터,0,0,4,3,0,0,0,0,0,0,4,3
코벤트캐피탈파트너스,3,1,0,0,1,1,0,0,0,0,4,1
콜즈다이나믹스,1,1,2,2,0,0,0.5,1,0.5,0,4,4
킴벤처러스,0,0,0,0,2,3,1,2,1,0,4,2
하임벤처투자,3,2,1,1,0,0,0,0,0,0,4,3
아트임팩트,0,0,3.3,4,0.6,1,0,0,0,0,3.9,4
요즈마그룹코리아,0,0,0.3,2,0,0,2.2,7,1.3,4,3.8,13
코업파트너스,0,0,1.7,1,2,1,0,0,0,0,3.7,1
시너스파트너스,0.5,1,3,2,0,0,0,0,0,0,3.5,3
와이플래닛,0,0,0,0,0,0,0.9,1,2.6,3,3.5,4
충북대학교기술지주,0,0,0,0,0.8,11,2.3,3,0.4,5,3.5,8
에스아이디파트너스,0,0,2.5,2,0.5,1,0,0,0.4,2,3.4,4
한국산업지능화협회,1.4,3,0,0,2,2,0,0,0,0,3.4,3
뉴키즈인베스트먼트,1.3,2,2,7,0,0,0,0,0,0,3.3,9
세종창조경제혁신센터,0,0,2,5,1.3,4,0,0,0,0,3.3,5
이노빌드랩,0,0,3.3,1,0,0,0,0,0,0,3.3,1
라이트형제,2.2,5,1,9,0,0,0,0,0,0,3.2,14
더오름벤처스,3.1,5,0,0,0,0,0,0,0,0,3.1,5
비스퀘어,0,0,1.1,1,1.7,4,0.1,1,0.1,0,3,2
알마덴디자인리서치,0,0,0,0,0,0,1.5,3,1.5,0,3,3
JB,0,0,1,1,1,1,0,0,1,1,3,2
머스트액셀러레이터,1.5,2,1.3,2,0,0,0,0,0,0,2.8,4
전북창조경제혁신센터,0,0,0,0,0.8,2,0,0,2,4,2.8,4
페이서파트너스,0.5,1,2.3,3,0,0,0,0,0,0,2.8,4
기술과가치,0,0,0,0,2.7,3,0,0,0,0,2.7,0
애플애드벤처,0,0,0.2,1,2.5,2,0,0,0,0,2.7,1
스타트업파트너스,0,0,1,1,0,0,0.8,2,0.8,0,2.6,3
쿱앤파트너스,0,0,1,1,1.6,1,0,0,0,0,2.6,1
가치기업경영,1.5,3,1,2,0,0,0,0,0,0,2.5,5
아이파트너즈,1,1,0,0,1,1,0,0,0.5,1,2.5,2
필로소피아벤처스,2.5,3,0,0,0,0,0,0,0,0,2.5,3
텐원더스,0,0,1,1,1,1,0,0,0.2,1,2.2,2
휴넷벤처스,0,0,0,0,2.1,2,0,0,0,0,2.1,0
다빈치벤처스,0,0,2,2,0,0,0,0,0,0,2,2
더피플앤파트너스,0,0,2,4,0,0,0,0,0,0,2,4
바이텐파트너스,0,0,2,2,0,0,0,0,0,0,2,2
비욘드밸리,0,0,2,1,0,0,0,0,0,0,2,1
쏠리드엑스,2,2,0,0,0,0,0,0,0,0,2,2
아이엠파트너스,1,1,1,1,0,0,0,0,0,0,2,2
제로투원파트너스,0,0,2,1,0,0,0,0,0,0,2,1
에이블벤처스,0,0,0.5,1,1.4,2,0,0,0,0,1.9,1
피지벤처스,1.2,2,0.5,1,0.2,1,0,0,0,0,1.9,3
아이스타트업랩,0,0,0,0,0,0,1.8,12,0,0,1.8,12
드림벤처스유한책임회사,0,0,0,0,1.6,3,0,0,0,0,1.6,0
벤처기업협회,0,0,0,0,0.4,1,0.6,2,0.6,0,1.6,2
엘스톤,0,0,0,0,0,0,1,1,0.6,1,1.6,2
대전창조경제혁신센터,0,0,0.5,1,0,0,0,0,1,1,1.5,2
씨디이파트너스,1.5,2,0,0,0,0,0,0,0,0,1.5,2
비에이치웨이,1.4,1,0,0,0,0,0,0,0,0,1.4,1
오퍼스이앤씨,0.6,1,0.6,1,0,0,0,0,0.1,1,1.3,3
스타릿지,1.1,1,0.1,1,0,0,0,0,0,0,1.2,2
케이브이에이액셀러레이터,1,1,0,0,0,0,0.1,1,0.1,0,1.2,2
광운대학교산학협력단,0,0,0.8,2,0,0,0,0,0.3,1,1.1,3
인트윈벤쳐스,0,0,1.1,3,0,0,0,0,0,0,1.1,3
2080벤처스코리아 유한책임회사,0,0,1,1,0,0,0,0,0,0,1,1
경북창조경제혁신센터,0,0,0,0,0,0,0,0,1,1,1,1
더웍스코리아,0,0,0,0,0,0,0,0,1,1,1,1
브리티시인터내셔널,0,0,0,0,1,1,0,0,0,0,1,0
삼익매츠벤처스,1,1,0,0,0,0,0,0,0,0,1,1
서울창조경제혁신센터,0,0,1,1,0,0,0,0,0,0,1,1
스타트업엑스 유한책임회사,0,0,0,0,1,1,0,0,0,0,1,0
